,id,type,nom,arrondissement,geo_point_2d
4759,482612,bus,Bibliothèque A. Chedid,15,"48.849770036349376, 2.2855776176262212"
4766,39726,bus,Gare Montparnasse,15,"48.842026565217786, 2.3211102531157266"
4784,420589,bus,Porte de Madrid,16,"48.874014512489474, 2.2557138451097387"
4786,488571,bus,Kléber,16,"48.8722398323393, 2.293817628124475"
4841,488355,bus,Colonel Bourgoin,12,"48.845131323060514, 2.382906020032235"
4928,488412,bus,Michel Ange,16,"48.84768805111397, 2.2655334469114785"
4930,463779,bus,Exelmans,16,"48.84272854474405, 2.2605072822340513"
4993,488435,bus,Botzaris - Buttes Chaumont,19,"48.87646475120194, 2.3812122326594034"
5002,488333,bus,Rosa Parks,19,"48.89611943593524, 2.375140869710748"
5009,40100,bus,Porte d'Ivry-Massena,13,"48.82165356911465, 2.3700132104026754"
5010,488219,bus,Maryse Bastié,13,"48.823856896667294, 2.3768514319876495"
5012,35829,bus,Flandre - Alphonse Karr / Corentin Cariou,19,"48.89426221811354, 2.3811780181275837"
5013,35830,bus,Flandre - Alphonse Karr / Corentin Cariou,19,"48.894500744777076, 2.3820890089618185"
5016,488171,bus,Marie de Miribel (direction porte d'Asnières),20,"48.85849761564616, 2.410034465922702"
5017,488152,bus,Porte de Montreuil (direction Asnières),20,"48.853205458944046, 2.4110483688601216"
5018,488150,bus,Porte de Pantin (extérieur),19,"48.88957606059027, 2.3969036505488424"
5019,488113,bus,Nation,12,"48.84774153362843, 2.3974286868102963"
5020,25727,bus,Gare de Bercy,12,"48.840125139320506, 2.3817935450538426"
5031,36721,bus,Porte de Montreuil,20,"48.85420166694792, 2.410628250633395"
5032,35828,bus,Porte de la Villette Macdonald,19,"48.89825525848882, 2.386436581551766"
5264,36839,bus,Hôpital Ambroise Paré,16,"48.85055927961644, 2.2371469741214023"
5266,22795,bus,Glacière - Tolbiac,14,"48.82588640641904, 2.3410440880287724"
5273,460491,bus,Porte de Vanves,14,"48.827021730002905, 2.304877952515242"
5274,463597,bus,Fabre d'Eglantine,12,"48.845096195971, 2.3954017100167757"
5275,463656,bus,Hôpitaux de Saint-Maurice,12,"48.82411955632489, 2.4219874827458456"
5276,26546,bus,Pyrénées - Belleville,20,"48.873819023491265, 2.3861245557845385"
5277,485981,bus,Mairie du 17e,17,"48.88571887014389, 2.31987242207384"
5279,21692,bus,Wagram - Ampère,17,"48.88516982542194, 2.3041426700515784"
5294,462450,bus,Reims-Pitet,17,"48.88883023540504, 2.296470208305031"
5298,490972,bus,Charles de Gaulle-Étoile,8,"48.874276362562846, 2.2960259958390945"
5396,463623,bus,Ménilmontant - Nanettes,11,"48.86461445647373, 2.3852788250024606"
5397,36554,bus,Place de Clichy,8,"48.8830146450689, 2.326725873894096"
5398,478392,bus,Hôtel de Ville,4,"48.85566733552329, 2.3514616872780256"
5399,39821,bus,Châtelet / Coutellerie,4,"48.85738702335433, 2.350159106877992"
5400,23327,bus,Brancion - Vouillé,15,"48.8354819358953, 2.30592315920823"
5401,463675,bus,Ménilmontant - Nanettes,20,"48.864920704102595, 2.385370631372659"
5402,24270,bus,Duranton,15,"48.83808167461356, 2.289171216716886"
5472,25409,bus,Gare d'Auteuil,16,"48.847872992295734, 2.2605160436897855"
5475,28671,bus,Maubert - Mutualité,5,"48.84939641371149, 2.3493593422778996"
5477,28675,bus,Cambronne - Lecourbe,15,"48.84246504956374, 2.301974093209686"
5478,39752,bus,Mouton - Duvernet,14,"48.83165302282674, 2.330004828650623"
5479,26182,bus,Place des Vosges,4,"48.856367394901405, 2.3646051933329835"
5480,29422,bus,Payenne,4,"48.857109240183576, 2.362047443150571"
5481,36545,bus,Saint-Philippe-du-Roule,8,"48.87325322250697, 2.3118549635114287"
5503,490929,bus,Porte Maillot - Neuilly,16,"48.8782043363169, 2.2805380124663"
5504,490887,tram,Thérèse Pierre,17,"48.88352922905089, 2.288196318046833"
5505,490889,tram,Thérèse Pierre,17,"48.883692636254814, 2.2884531779146267"
5506,22832,bus,Rubens - École des Arts et Métiers,13,"48.83379819952511, 2.3570741255541403"
5507,27107,bus,Hôpital Trousseau,12,"48.84245543187767, 2.4050383555068944"
5508,25099,bus,Porte de Passy,16,"48.85730839554387, 2.265070722165199"
5516,37313,bus,Thomas Mann,13,"48.83087867962348, 2.381603501708646"
5525,26347,bus,Sully - Morland,4,"48.851421721781264, 2.3630574018995163"
5526,24866,bus,Ruysdaël - Parc Monceau,8,"48.87700114713325, 2.311450940765542"
5527,25757,bus,Violet,15,"48.84495691362206, 2.2898541445973377"
5528,28411,bus,Strasbourg - Magenta,10,"48.8735668627116, 2.3586146729910613"
5529,29783,bus,Versailles - Exelmans,16,"48.84100698131708, 2.265736599711509"
5531,37406,bus,Regnault,13,"48.82463575350903, 2.376161076846444"
5533,26550,bus,Pyrénées - Bagnolet,20,"48.85949999691364, 2.401804226578319"
5534,26556,bus,Pyrénées - Bagnolet,20,"48.85889092928812, 2.4023018939139535"
5538,23784,bus,Porte de Saint-Cloud - Métro,16,"48.83747627522574, 2.256167475414611"
5539,37397,bus,Porte de Saint-Cloud,16,"48.83800669055872, 2.2561326567472997"
5540,22421,bus,Porte d'Orléans,14,"48.82259889609407, 2.3256672861284384"
5541,39332,bus,Porte d'Auteuil,16,"48.84686850535654, 2.258063826913403"
5543,37731,bus,Ponscarme,13,"48.826325214215906, 2.3690441276452368"
5544,23619,bus,Plaisance - Hôpital Saint-Joseph,14,"48.831920918768255, 2.3138037527741755"
5552,37569,bus,Ménilmontant - Pelleport,20,"48.87086602622242, 2.3996832827701144"
5554,22745,bus,Magenta - Saint-Martin,10,"48.87450203781724, 2.358589523006995"
5556,8433,bus,Luxembourg,6,"48.84717933812449, 2.340297907794364"
5557,9895,bus,Les Vignes,18,"48.88811466203574, 2.3397929277897065"
5558,23500,bus,Lauriston,16,"48.86921020167639, 2.289455338219461"
5559,24161,bus,La Sibelle,14,"48.82455964673029, 2.338568222252066"
5566,462915,metro,Saint-Philippe-du-Roule,8,"48.87215513106379, 2.3101372056878247"
5568,24399,tram,Porte de la Villette (Cité des Sciences et de l'industrie),19,"48.897490957291836, 2.386459229221149"
5592,463774,bus,Quai d'Austerlitz,13,"48.838689897373655, 2.372150730389361"
5596,37366,bus,Place d'Italie - Choisy,13,"48.83045933923683, 2.356665762003789"
5602,463681,bus,Quai de la Gare,13,"48.83661356882107, 2.3723801010879675"
5604,28632,bus,Verdun / Paris Est,10,"48.876762332595305, 2.3608250267110624"
5612,25518,bus,Sidi Brahim,12,"48.83821656816906, 2.3990647391663344"
5613,23457,bus,Dupleix,15,"48.851966724248705, 2.292007264436712"
5614,23473,bus,Dupleix,15,"48.8514154963826, 2.2915650283827667"
5615,25093,bus,Scheffer,16,"48.86030351524876, 2.285910239121363"
5619,26261,bus,Jean Jaurès,19,"48.88001051885038, 2.408372687021999"
5641,491772,bus,Europe,8,"48.87878954839222, 2.323848935669844"
5644,34170,bus,Marceau - Pierre 1er de Serbie - Place de Beyrouth,16,"48.86702447516109, 2.298550515444786"
5645,25096,bus,Passy - Boulainvilliers,16,"48.85809940121374, 2.275322824964985"
5655,24951,bus,Hilsz - Lagny,20,"48.84911275389496, 2.4127435238247217"
5657,26765,bus,Grands Boulevards,9,"48.87151495915461, 2.3434252695635585"
5662,37372,bus,Davy,18,"48.89027147343526, 2.3265911242036035"
5663,27099,bus,Daumesnil - Félix Eboue,12,"48.83902618401431, 2.393755413382388"
5668,25776,bus,Champ de Mars,15,"48.8571882705308, 2.2913775001580445"
5670,37573,bus,Bretagne,3,"48.86224199877468, 2.3649560992953225"
5671,19916,bus,Bobillot - Tolbiac,13,"48.826029011389984, 2.3506725655508003"
5677,28416,bus,Rue du Bac - René Char,7,"48.85564647548249, 2.326520727154087"
5683,491710,bus,Porte de Champerret,17,"48.88561681711853, 2.2929407313928247"
5695,37073,bus,Debrousse - Centre de Santé,20,"48.86126749552952, 2.4063773981934546"
5701,37389,bus,Charles de Gaulle - Etoile - Marceau,16,"48.872638806496155, 2.295898158728304"
5702,26316,bus,Charonne - Philippe Auguste,11,"48.85564949333404, 2.3908498273558756"
5704,20102,bus,Dufrénoy,16,"48.866330358790094, 2.2711868894827294"
5705,23605,bus,Convention - Saint-Charles,15,"48.84358974279463, 2.2822967130731016"
5706,22643,bus,Saint-Germain - Odéon,6,"48.851612262978286, 2.3401327622744406"
5707,24789,bus,Drevet,18,"48.88554682231409, 2.340561877014829"
5719,30106,bus,Saint-Jacques - Gay-Lussac,5,"48.84419502788256, 2.342216083561045"
5722,486513,bus,Porte d'Asnières - Marguerite Long,17,"48.89074653743807, 2.3027452229040652"
5732,23486,bus,Tristan Tzara,18,"48.8943367015669, 2.3661876951977736"
5733,22747,bus,Pasteur - Falguiere,15,"48.84109443621179, 2.3137919788937324"
5734,36672,bus,Laumière,19,"48.88447177895207, 2.380053435027474"
5735,24886,bus,Damrémont - Lamarck,18,"48.8905466965888, 2.3339931232460747"
5736,39326,bus,Leblanc - Delbarre,15,"48.83804424549702, 2.2754381660166225"
5737,39723,bus,René Binet,18,"48.899335342446896, 2.3360222494197465"
5738,463709,bus,Corentin Cariou,19,"48.89522198368834, 2.3824350728427444"
5739,491485,bus,Porte Maillot,16,"48.87791066759974, 2.2795603495267964"
5740,491153,bus,Porte Maillot,16,"48.878118483283046, 2.2797210954026874"
5743,22249,bus,Institut Pasteur,15,"48.84003931935541, 2.310167984502171"
5744,39794,bus,Pigalle,9,"48.88218370607657, 2.337372725394128"
5745,463578,bus,Bir-Hakeim,15,"48.85485404918683, 2.2890378084585543"
5746,28987,bus,Rome - Batignolles,8,"48.88203776415414, 2.3209568350242957"
5752,36671,bus,Borrego,20,"48.8729797055799, 2.397941096452449"
5758,29431,bus,Bibliothèque Nationale,2,"48.86659148805394, 2.337789172568674"
5765,491487,bus,Trinité,9,"48.87609162837816, 2.3318737471317927"
5766,491489,bus,Place de Clichy,9,"48.883119081198025, 2.327706336451598"
5790,473990,rail,Châtelet - Les Halles,1,"48.86166751401732, 2.346779837722552"
5791,473995,rail,Cité Universitaire,14,"48.82161064235874, 2.3387418343043915"
5803,473915,rail,Saint-Michel Notre-Dame,5,"48.85251011478016, 2.344768627765871"
5806,473925,rail,Auber,9,"48.87232946035089, 2.329740651695625"
5811,473994,rail,Denfert-Rochereau,14,"48.83320888148891, 2.333213535933837"
5812,473997,rail,Denfert-Rochereau,14,"48.83319935677663, 2.3331182952180756"
5813,462562,bus,Marguerite Long,17,"48.89024715925512, 2.3034747343491357"
5814,8060,bus,Square Sainte-Odile,17,"48.88697817121388, 2.295036035218418"
5815,480568,bus,Square Sainte-Odile,17,"48.887078775525204, 2.2953210580463215"
5816,461335,bus,Porte de Saint-Cloud,16,"48.83772841705649, 2.256218375252705"
5817,426996,bus,Italie - Tolbiac,13,"48.82608816086413, 2.3566243517682888"
5818,426998,bus,Bobillot - Tolbiac,13,"48.82578797073463, 2.351002477834933"
5819,426999,bus,Convention - Lecourbe,15,"48.83892022812029, 2.292565975701451"
5826,471765,bus,Balard,15,"48.836405926603504, 2.2781721446078342"
5865,40094,bus,Gare du Nord,10,"48.88123328645028, 2.3577021090741264"
5866,478405,bus,Parc de Bagatelle,16,"48.87065755105087, 2.2452779234374516"
5867,24865,bus,Pereire - Maréchal Juin,17,"48.884350128229784, 2.297758034421332"
5868,24864,bus,Wagram - Courcelles,17,"48.881991398252005, 2.3004079602642538"
5869,40519,bus,Pereire - Le Chatelier,17,"48.88564661371224, 2.296472309706159"
5870,25546,bus,Panthéon,5,"48.84667909582144, 2.3441878589069356"
5871,18722,bus,Porte d'Auteuil,16,"48.847042580165784, 2.2585791729051072"
5889,463961,bus,Porte des Lilas,20,"48.87662620008669, 2.4077975794210666"
5892,24631,bus,Mairie du Pré-Saint-Gervais,19,"48.882192530117884, 2.4022662696433112"
5896,491261,bus,Mouton - Duvernet,14,"48.83056119433794, 2.3293649793225937"
5898,39460,bus,Porte des Lilas - Métro,20,"48.87691938542171, 2.40707161436442"
5929,29416,bus,Jaurès - Stalingrad,19,"48.882204144579, 2.3711761347981604"
5931,28385,bus,Louis Blanc,10,"48.88175748078745, 2.3666271466855857"
5932,29417,bus,Marché Secrétan,19,"48.880554925195014, 2.373950430089714"
5947,24856,bus,Rhin et Danube,19,"48.88194208741889, 2.3935967232476516"
5984,24604,bus,Évangile - Aubervilliers,19,"48.896331466503185, 2.3709782212089983"
5995,19743,bus,Radio France,16,"48.85301904631534, 2.2814581565362384"
6004,478413,bus,Parc de Bagatelle,16,"48.87030649248625, 2.245228477739227"
6006,462555,bus,Porte de Courcelles,17,"48.886517695041235, 2.296255982415317"
6015,37630,bus,Gérard de Nerval,18,"48.90053459087534, 2.3349702496122378"
6030,25416,bus,Charles de Gaulle - Etoile - Victor Hugo,16,"48.87316608235431, 2.293805069992954"
6031,25403,bus,Perrichont,16,"48.85002477448823, 2.2726278083375115"
6036,23633,bus,Fontaine au Roi,11,"48.86779495019626, 2.372536078554481"
6037,23464,bus,Rond-Point Saint-Charles,15,"48.841667945948785, 2.2812740127760884"
6049,42075,bus,Raspail - Edgar Quinet,14,"48.839086397396365, 2.3308221362812884"
6108,36943,bus,Jeanne d'Arc - Église de la Gare,13,"48.8292936735853, 2.3691444218482878"
6109,22378,metro,Pont Marie (Cité des Arts),4,"48.85341474934873, 2.357349968447059"
6110,463309,metro,Saint-Sébastien - Froissart,3,"48.860949439266236, 2.367125462615118"
6111,22200,metro,Filles du Calvaire,11,"48.8630883018733, 2.366826859795412"
6112,463058,metro,Grands Boulevards,9,"48.871601969437734, 2.3428924760133962"
6113,22000,metro,Saint-Marcel,13,"48.83853898896763, 2.3606397867113924"
6114,463111,metro,Belleville,10,"48.87225013397249, 2.3766405893151457"
6115,39926,bus,Gare du Nord,10,"48.88039890799193, 2.353062681927884"
6116,22639,bus,Rennes - Littré,6,"48.84442007255952, 2.324499242722527"
6117,471064,rail,Paris Saint-Lazare,8,"48.877779682087755, 2.3249801077930425"
6321,427505,bus,Cité - Palais de Justice,4,"48.855747517227485, 2.3463634081114604"
6366,22841,bus,Département - Marx Dormoy,18,"48.887314087208196, 2.3596317920718155"
6463,36924,bus,Square Saint-Lambert,15,"48.841839000623324, 2.2979629467690454"
6464,36914,bus,Labrouste - Vouillé,15,"48.83422843633943, 2.308446579131206"
6465,36916,bus,Bargue,15,"48.83868125068662, 2.3070522796325403"
6663,494234,bus,Pont Cardinet,17,"48.88845590847097, 2.315677172846929"
6697,25724,bus,Baron Le Roy (rue),12,"48.834644457416616, 2.388098119768368"
6701,492909,bus,Daumesnil - Félix Eboué,12,"48.83905211570078, 2.3971067792616547"
6706,494163,bus,Gare de Bercy,12,"48.84010785720178, 2.381929999624831"
6707,494161,bus,Porte de Saint-Mandé,12,"48.844184048317764, 2.410864171341319"
6708,494158,bus,Terroirs de France,12,"48.83187659451672, 2.3885256704934767"
6709,494156,bus,Charenton-Jardiniers,12,"48.832974133860525, 2.3956649134222463"
6711,41430,bus,Ministère de l'Economie et des Finances / Gare de Lyon,12,"48.84106039884473, 2.3783080231059706"
6712,16904,bus,Terroirs de France,12,"48.831846897844514, 2.387994729983461"
6749,10089,bus,Porte de Charenton,12,"48.831278965629906, 2.398368223530578"
6763,22583,bus,Château de Vincennes,12,"48.844530973514544, 2.441954911982554"
6765,22497,bus,Roquette - Père Lachaise,20,"48.860199528367204, 2.3889565512281696"
6768,22658,bus,CFA - Andrieu,12,"48.817994209789006, 2.4465697849649377"
6771,22820,bus,Demi Lune - Parc Zoologique,12,"48.835083990356324, 2.420367306481091"
6790,8411,bus,Europe,8,"48.879103724786425, 2.3221540865099515"
6791,8408,bus,Pereire - Le Chatelier,17,"48.88518470389213, 2.295919438334356"
6793,422526,bus,Hôtel de Ville,4,"48.85717074968708, 2.3500800275160802"
6794,483431,bus,Les Graviers,16,"48.880038156259474, 2.2612047134250073"
6802,463952,bus,Pyramide - Parc Floral,12,"48.83953718005295, 2.4376075892668103"
6823,27339,bus,Concorde - Quai des Tuileries,8,"48.86384219500199, 2.3206214949830746"
6824,27316,bus,Opéra - 4 Septembre,2,"48.870172093598114, 2.3331493692585923"
6852,39722,bus,Lyon - Ledru Rollin,12,"48.84887122100465, 2.3722597281169575"
6859,25309,bus,Pierre Bourdan,12,"48.847763411886184, 2.391091905037833"
6860,25312,bus,Hôpital Saint-Antoine,12,"48.846749557254235, 2.381047254281324"
6861,37353,bus,Louvre - Rivoli,1,"48.86132175624476, 2.341127490801443"
6862,37354,bus,Louvre - Rivoli,1,"48.86047274856999, 2.3404703410103083"
6863,419005,bus,INSEP,12,"48.834489377652666, 2.4545686989584907"
6869,37532,bus,Parc Zoologique,12,"48.83367251590835, 2.414933709455884"
6871,37510,bus,Gare Saint-Lazare - Rome,8,"48.87580265905166, 2.323655927472191"
6873,37727,bus,Bourse de Commerce,1,"48.86327890334494, 2.342138700108017"
6900,23466,bus,Champs-Élysées - Clemenceau,8,"48.86819687980261, 2.3130668819688918"
6902,480628,bus,Château de Vincennes,12,"48.844502913573145, 2.4417235699185196"
6904,21174,bus,Château de Vincennes,12,"48.84421074397944, 2.440786508761315"
6905,21173,bus,Château de Vincennes,12,"48.84405728827404, 2.4406655221006828"
6906,424219,bus,Saint-Paul,4,"48.85498720166743, 2.3621279399858532"
6908,21699,bus,Pont National - Quai de Bercy,12,"48.82813843555827, 2.3891552539069636"
6909,9385,bus,Gambetta,20,"48.86501039725967, 2.3977060431935087"
6912,426150,bus,Nation - Diderot,12,"48.84813211793706, 2.3946306277886444"
6913,426149,bus,Nation - Trone,11,"48.84848692432946, 2.397215660938414"
6914,490898,bus,Porte Maillot - Palais des Congrès,16,"48.87740939350275, 2.282948729849672"
6916,28062,bus,Mortemart (av du Tremblay),12,"48.829708761041935, 2.461402544274593"
6928,460436,bus,Charles de Gaulle - Etoile - Grande Armée,17,"48.87441405777784, 2.2934472976635836"
6935,28428,bus,Charles de Gaulle - Etoile - Grande Armée,16,"48.87401155807761, 2.2938208745126016"
6944,26010,bus,Tremblay - Pépinière,12,"48.84164456758265, 2.449833977290042"
6950,28630,bus,Marsoulan,12,"48.84761672727637, 2.4030307847632786"
6951,26174,bus,Bastille - Rue Saint-Antoine,4,"48.85322877351808, 2.3680233117182934"
6952,28738,bus,Bercy,12,"48.82779840435263, 2.3930278091543893"
6986,26672,bus,Basfroi,11,"48.855289517022726, 2.3785607457380626"
6987,26674,bus,Château de Vincennes,12,"48.84414134567257, 2.441332290887612"
6993,26751,bus,Réaumur - Montmartre,2,"48.86756891704672, 2.343802178854266"
6997,24251,bus,Rond-Point des Champs-Élysées,8,"48.86961013518283, 2.3086039594244765"
6998,24254,bus,Charles de Gaulle - Etoile - Champs-Élysées,8,"48.87313781416641, 2.296641267824209"
7002,36281,bus,Gare de Lyon - Diderot,12,"48.84584800675837, 2.3737132968576122"
7007,22769,bus,Convention - Vaugirard,15,"48.83752623832332, 2.2971490726774513"
7010,8442,bus,Trocadéro,16,"48.86318893981016, 2.2886787016387924"
7011,40333,bus,Porte d'Orléans,14,"48.82129442705578, 2.325602436164596"
7012,422947,bus,Porte d'Orléans - Ernest Reyer,14,"48.82128843114838, 2.324540144260681"
7013,25394,bus,Léopold II,16,"48.851055225781295, 2.2720001654004016"
7015,494112,bus,Franklin Roosevelt,8,"48.868134008612195, 2.3130813434460404"
7016,494104,bus,Ranelagh,16,"48.853432613899635, 2.2754695006372447"
7050,24782,bus,Abreuvoir - Girardon,18,"48.88852903564701, 2.3382875281430873"
7270,460562,tram,Delphine Seyrig,19,"48.89391525882223, 2.397794479232845"
7292,494008,bus,Sèvre Lecourbe,15,"48.838908035022065, 2.3120631720224694"
7326,11981,bus,Porte d'Orléans,14,"48.82119619346133, 2.3257262876103733"
7346,493864,bus,Pereire - Villiers,17,"48.88462010150711, 2.2993226170633045"
7359,493931,bus,Argentine,16,"48.87567232107075, 2.288753631246122"
7366,493871,bus,Nation - Trône,11,"48.84850442975045, 2.3971200685168044"
7369,492652,bus,Porte Maillot - Grande Armée,16,"48.87696185912046, 2.2848092163834024"
7374,493703,bus,Porte de Clichy,17,"48.89473556817457, 2.3129485990048377"
7375,470628,bus,Porte de Clichy,17,"48.894887032959076, 2.312701091139916"
7378,493710,bus,Camille Flammarion,18,"48.89772086242294, 2.34005302919711"
7390,493740,bus,Épinettes - Pouchet,17,"48.89726532340997, 2.3244819391492104"
7394,27025,bus,Angélique Compoint,18,"48.89834298766654, 2.3370852063122465"
7397,25770,bus,Porte de Saint-Ouen - Hôpital Bichat,18,"48.89940769351859, 2.329637550598685"
7406,20100,bus,Opéra,9,"48.87108068836772, 2.3315835603407464"
7417,491915,bus,La Condamine - Mairie du 17e,17,"48.88495883077909, 2.320646008589068"
7420,417933,bus,Bois le Prêtre,17,"48.899239832412434, 2.320596051106998"
7421,36491,bus,Michelet - Rosiers,18,"48.90090744784199, 2.3438730139437776"
7427,34173,bus,Rome - Batignolles,8,"48.881748838497245, 2.320756063299136"
7430,22753,bus,Angélique Compoint,18,"48.89806429402877, 2.3371023952971557"
7431,462567,bus,Pont Cardinet - Batignolles,17,"48.88818048725464, 2.3162672106455373"
7432,462539,bus,Porte de Clignancourt - Croisset,18,"48.89952352801303, 2.3457046509016815"
7433,462530,bus,Epinettes - Pouchet,17,"48.89781508307842, 2.3230971511748972"
7443,30009,bus,Porte de Clichy,17,"48.89451904249389, 2.3128287027007666"
7444,8416,bus,La Fourche,17,"48.88782618254102, 2.325149895689086"
7445,427586,bus,La Jonquiere,17,"48.8940135359693, 2.3203778289319033"
7450,412999,bus,Bois le Prêtre,17,"48.89932285372157, 2.320963262265342"
7462,420414,bus,Mairie du 18e - Jules Joffrin,18,"48.892062862482845, 2.3447345951437604"
7467,40838,bus,Parc Martin Luther King,17,"48.88948519423802, 2.316386457854338"
7471,27970,bus,Navier,17,"48.89580704528251, 2.322645872651071"
7479,25754,bus,Boulevard des Batignolles,8,"48.88223220615658, 2.323531515700321"
7480,23004,bus,Eugène Sue,18,"48.89120308812429, 2.3486869065364835"
7481,23005,bus,Albert Kahn,18,"48.8953792210239, 2.3459886053071797"
7482,23000,bus,Condorcet - Trudaine,9,"48.88108292856764, 2.3465363091046525"
7488,11229,bus,Boulay,17,"48.89295415324762, 2.3159590220215294"
7493,25761,bus,Saint-Georges,9,"48.87855881819219, 2.337268859632959"
7535,482774,bus,Châtelet,1,"48.858388535514116, 2.3474479180129046"
7543,24288,bus,Michelet - Rosiers,18,"48.89976756134924, 2.3442829588897673"
7752,21958,metro,Gare de Lyon,12,"48.84424988805502, 2.372519782814122"
7753,39817,bus,Boulevard Victor,15,"48.83368707528649, 2.2867108113611416"
7780,39766,bus,Pasquier - Anjou,8,"48.87411103534662, 2.3250958230845464"
7782,493517,bus,Grand Palais,8,"48.86505792205445, 2.3145941156124814"
7784,493384,bus,Porte de Versailles,15,"48.83252236570538, 2.2874623966113297"
7785,493382,bus,Paris Porte Maillot,16,"48.87712046791897, 2.284261647032536"
7793,37378,bus,Montparnasse - Alencon,6,"48.8443291212114, 2.3227290227758894"
7795,463792,bus,Pasteur - Lycée Buffon,15,"48.842666480201636, 2.311904556182552"
7797,492768,bus,Anjou - Chauveau Lagarde,8,"48.87157550117516, 2.3220202902101073"
7804,463552,bus,Pont d'Arcole,4,"48.85477400712877, 2.350914023971419"
7805,26363,bus,Grand Palais,8,"48.86528564138088, 2.313527851558743"
7806,461575,bus,Porte de Clichy,17,"48.89389330889227, 2.311923139578824"
7808,28571,bus,Maubeuge - Rochechouart,9,"48.878121690289476, 2.344446411304005"
7888,463264,metro,Strasbourg - Saint-Denis,10,"48.86950305728901, 2.353822382009361"
7896,472755,bus,Paris Saint-Lazare,8,"48.87550321746773, 2.324777828487544"
7900,26364,bus,Invalides,7,"48.86184943813163, 2.3149770954377242"
7902,493408,bus,Invalides,7,"48.86172353853166, 2.314978750860803"
7927,493351,bus,Clichy - Caulaincourt,18,"48.885149024600715, 2.3304620397019202"
7929,493348,bus,Concorde,8,"48.86702881902343, 2.3211388512725093"
8020,493016,bus,Rue Saint-Maur,11,"48.864260677127064, 2.3794624452532727"
8021,493015,bus,Parmentier,11,"48.86531984932993, 2.3738881523057773"
8022,493011,bus,Rue Saint-Maur,11,"48.86438678930172, 2.379501836994621"
8023,493019,bus,Porte de Bagnolet,20,"48.864594276330706, 2.409856372381369"
8025,493002,bus,Docteur Goujon - Reuilly,12,"48.83966659676044, 2.3976855388650034"
8027,474357,bus,Firmin Gillot,15,"48.833053365147094, 2.2890354354640374"
8030,474137,bus,Grands Boulevards,2,"48.87116976999698, 2.344438472782496"
8049,34179,bus,La Motte Picquet - Grenelle,15,"48.84942380767089, 2.298501257636873"
8050,29965,bus,Javel,15,"48.84608169071525, 2.2779291137955804"
8052,492948,bus,Chardon-Lagache,16,"48.845092196093596, 2.266074208759247"
8053,26786,bus,Duroc,7,"48.84716113869087, 2.3162330710214354"
8054,23481,bus,Chaussée d'Antin,9,"48.87313420576106, 2.3337385944087012"
8055,35849,bus,Trinité,9,"48.87612577263314, 2.3315460822956227"
8073,39803,bus,Gare du Nord,10,"48.881117551402426, 2.357921708015718"
8121,37559,bus,Gare d'Austerlitz,5,"48.84339634407151, 2.3641637954461068"
8122,28003,bus,Charles de Gaulle - Etoile - Kléber,16,"48.872602435540806, 2.2943035210704315"
8123,492890,bus,Bastille,12,"48.851880181117004, 2.3698113146818347"
8150,41515,bus,Bibliothèque Chevaleret / François Mitterrand,13,"48.82998533588256, 2.3758382362124553"
8239,492779,bus,Suzanne Lenglen,15,"48.833245926436575, 2.2776437228955766"
8301,492449,bus,Marseillaise - Progrès,19,"48.885927482509786, 2.3992232741678268"
8307,491922,bus,Paris - Porte de Clichy,17,"48.89462218441293, 2.313563864766916"
8308,491927,bus,Paris - Brochant,17,"48.89030812608028, 2.3203443650991633"
8313,492678,bus,Daumesnil,12,"48.839535956541276, 2.39674693811761"
8314,463673,bus,Charonne - Philippe Auguste,11,"48.85606524953852, 2.3912538403163"
8513,490480,bus,Charenton - Jardiniers,12,"48.83344753323263, 2.3950191347521392"
8517,492402,bus,Rivoli - Pont Neuf,1,"48.859545326135205, 2.3451844642786273"
8524,22988,bus,Frères Voisin,15,"48.82850716948041, 2.2733503174239944"
8525,422447,bus,Frères Voisin,15,"48.82885196660519, 2.273849531947624"
8526,28983,bus,Trocadéro,16,"48.863740331207374, 2.287635195937134"
8546,420551,bus,Porte d'Aubervilliers - Macdonald,19,"48.898315890677424, 2.3703949955788053"
8662,492289,bus,Châtelet,4,"48.85763833121052, 2.3484113851972435"
8665,492272,bus,Saint-Michel - Saint-Germain,6,"48.85200728529933, 2.343275857065635"
8850,25303,bus,Docteur Goujon - Reuilly / Daumesnil,12,"48.83949257094949, 2.3970608101512525"
8855,36949,bus,Gambetta - Mairie du 20e,20,"48.86454513990766, 2.39997422253411"
8872,26367,bus,Piscine des Tourelles,20,"48.8747352169169, 2.405501302671626"
8877,23485,bus,Évangile - Aubervilliers,18,"48.895558031022425, 2.3709739263787086"
9117,474140,bus,Poissonnière - Bonne Nouvelle,2,"48.870226659876664, 2.349603572724716"
9118,8432,bus,Les Ecoles,6,"48.84970772153469, 2.3421464978810325"
9119,39320,bus,Bac - Saint-Placide / Vaneau,6,"48.84952828409535, 2.3228794907092465"
9120,26606,bus,Cambronne / La Motte-Picquet Grenelle,15,"48.84781816377281, 2.300757714893124"
9121,427004,bus,Pont Mirabeau,16,"48.84718180748476, 2.2739484243454977"
9122,23446,bus,Sèvres - Babylone,6,"48.85105894166123, 2.3263755998894977"
9123,488231,bus,Alexandra David-Neel,12,"48.84466638370187, 2.4101910393642356"
9124,491941,bus,Assemblée Nationale,7,"48.86154592808829, 2.3201062130698533"
