,id,type,nom,arrondissement,geo_point_2d
2397,24420,tram,Colette Besson,18,"48.89844200098292, 2.3636279086822087"
2399,28434,bus,Campagne Première,14,"48.840409315362166, 2.334197802822141"
2455,24776,bus,Tourlaque,18,"48.88730081368682, 2.3341164633905143"
2462,463010,metro,Champs-Élysées - Clemenceau,8,"48.867656292180186, 2.3144645013227807"
2463,22391,metro,Censier - Daubenton,5,"48.84022624850023, 2.351626572605499"
2465,21984,metro,Cardinal Lemoine,5,"48.84670003524942, 2.351328001673176"
2466,463156,metro,Buttes Chaumont,19,"48.87842297111784, 2.3816329214594854"
2467,24683,metro,Buttes Chaumont,19,"48.87849908838495, 2.3815698420880076"
2470,22127,metro,Barbès - Rochechouart,10,"48.88377608954328, 2.3506070793550973"
2522,29978,bus,Cotentin - Montparnasse 3,15,"48.83868540498809, 2.3140144403827256"
2523,30092,bus,Louis Blanc,10,"48.88198085564852, 2.3663517112504886"
2524,39487,bus,Charles de Gaulle - Etoile - Wagram,8,"48.874851815549754, 2.2960045837900416"
2525,462993,metro,Saint-Germain-des-Prés,6,"48.85367371341955, 2.3339874291342255"
2526,463169,metro,Daumesnil,12,"48.83953742163087, 2.3961460679154514"
2527,25300,bus,Daumesnil - Félix Eboue,12,"48.84000925961355, 2.394302600330743"
2534,24398,tram,Ella Fitzgerald,19,"48.897462935582325, 2.3950936519984656"
2539,463610,bus,Gambetta - Pyrénées,20,"48.8643781383329, 2.3989537998256605"
2543,20099,bus,Gare Montparnasse,14,"48.84093274263665, 2.3217103869804694"
2544,37566,bus,Montparnasse,15,"48.84364113294575, 2.323528269344404"
2568,25742,bus,Banquier,13,"48.834004524853015, 2.353638483967131"
2579,37702,bus,Claude Regaud,13,"48.821687446262985, 2.373036476451725"
2581,37577,bus,Michel Debré,6,"48.85121784918816, 2.330652718428096"
2582,25307,bus,Ternes,17,"48.87806106364531, 2.297297434244333"
2583,29423,bus,Turbigo - Etienne Marcel,1,"48.86393371049443, 2.3484008020069287"
2613,27474,bus,Legendre,17,"48.88545178690592, 2.317189438698151"
2617,427527,bus,Denfert-Rochereau,14,"48.833975444645546, 2.3319776221387283"
2619,28389,bus,Château Landon,10,"48.87858483086409, 2.361920733812284"
2630,463005,metro,Bir-Hakeim,15,"48.853925368362304, 2.2894007376345993"
2633,23614,bus,Alésia - Général Leclerc,14,"48.82777414343051, 2.3279432977206618"
2634,29784,bus,Pont de Grenelle - Place Fernand Forest,15,"48.849012964481595, 2.282303786210603"
2635,37368,bus,Pont de Grenelle - Place Fernand Forest,15,"48.84880571907211, 2.2822385035795447"
2643,22296,tram,Suzanne Lenglen,15,"48.833249898019815, 2.27681264536782"
2754,40032,bus,Saint-Michel,6,"48.85359288193881, 2.343773757483991"
2755,22816,bus,La Fayette - Magenta,10,"48.878672951169236, 2.354870317905031"
2760,9873,bus,Utrillo,18,"48.88604118889874, 2.3437875930695378"
2802,37394,bus,Marceau - Pierre 1er de Serbie - Place de Beyrouth,16,"48.86700172872407, 2.299273323687826"
2804,21994,metro,Arts et Métiers,3,"48.86553459884568, 2.3567233472754983"
2805,39399,bus,Armorique - Pasteur,15,"48.840029424005344, 2.31470525288018"
2808,463117,metro,Alexandre Dumas,20,"48.85624467842371, 2.3947127337554783"
2809,22122,metro,Alexandre Dumas,20,"48.856199097327455, 2.3945914186721278"
2814,22961,bus,Glacière - Arago,13,"48.835298180174256, 2.3451076009549747"
2829,478980,tram,Porte de Choisy,13,"48.81946912320747, 2.365109313129635"
2830,40769,bus,La Fayette - Dunkerque,10,"48.879725653879795, 2.358307023160938"
2852,463298,metro,Rue des Boulets,11,"48.85236862326589, 2.389429968854563"
2853,463206,metro,Le Peletier,9,"48.87485179365708, 2.3402064594563368"
2858,460556,tram,Henri Farman,15,"48.834790935931935, 2.2713962692816696"
2859,463583,bus,Quai de la Rapée,12,"48.84612028906111, 2.36734642769587"
2865,22739,bus,Gare Saint-Lazare - Havre,8,"48.87500099922393, 2.3266249516448703"
2866,26761,bus,Carrefour de Châteaudun,9,"48.87598029244918, 2.339360465048452"
3019,24779,bus,Durantin - Burq,18,"48.88623471699466, 2.3364756762459273"
3020,24697,bus,Saint-Bruno,18,"48.886209892533365, 2.3566452192598595"
3021,24858,bus,Porte Chaumont,19,"48.88637849975755, 2.395917905943014"
3022,36836,bus,Suzanne Lenglen (rue),16,"48.847947466397855, 2.2493679393752015"
3023,24838,bus,Marseillaise - Cheminets,19,"48.88632626436586, 2.3980458887928036"
3024,24837,bus,Marseillaise - Cheminets,19,"48.88636326334457, 2.398250016678123"
3025,24848,bus,D'Hautpoul,19,"48.883115598575905, 2.3873922237563594"
3026,24984,bus,Nation - Saint-Antoine,11,"48.84866284348179, 2.3946517168551775"
3027,22990,bus,Vavin,14,"48.841527388113015, 2.329877893527957"
