,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
820,2003728,15,2020,12,"48.84409201982977, 2.3166562433820492"
821,2003730,9,2020,21,"48.87450434034975, 2.3407192323684645"
822,2003741,18,2020,47,"48.893605450149956, 2.3492606933524476"
823,2003773,12,2021,2,"48.83516328973993, 2.403830024604047"
824,2003815,12,2021,76,"48.84473296005089, 2.395686132050308"
825,2003818,15,2021,23,"48.84104210976739, 2.3083615793837997"
826,2003855,15,2021,35,"48.84915643956593, 2.2801554561731665"
827,2003858,17,2021,1,"48.89406497974679, 2.3134541175066694"
828,CPE3,3,2021,8,"48.86255843044091, 2.3547566721176274"
830,CPE50,17,2021,169,"48.89254905003575, 2.3177354072493044"
831,CPE51,3,2021,5,"48.86258989977675, 2.351340084426204"
832,2003961,13,2022,89,"48.83010855038616, 2.37488714665738"
833,2003992,3,2022,10,"48.86788045956311, 2.3556279813756937"
834,2003997,15,2022,8,"48.84882792007803, 2.296597115248644"
835,2004016,20,2022,1,"48.84816735998555, 2.4120739844995343"
836,2004021,20,2022,14,"48.858665999705345, 2.3905383516317094"
837,2004027,18,2022,77,"48.89570384986016, 2.3635765671438866"
838,2004039,12,2022,12,"48.847405579620016, 2.4025974580730995"
841,2004103,14,2023,10,"48.83217269958844, 2.3355418060718"
842,2004104,16,2023,17,"48.838343079755276, 2.25932109851077"
843,2004139,18,2023,11,"48.89301524971108, 2.337789156610819"
844,2004142,20,2023,3,"48.874210790170864, 2.389342002632184"
845,2004149,13,2023,6,"48.82218040964917, 2.3564470315270376"
846,2004157,18,2023,1,"48.886836839638214, 2.3267136004610047"
848,2004172,19,2023,2,"48.88655853963383, 2.3773813935314294"
849,2004194,10,2024,8,"48.872815749708785, 2.354138143487065"
850,2004231,11,2024,12,"48.85750743998511, 2.3842180700458666"
851,2000012,10,2001,94,"48.88017170973908, 2.352827060602091"
852,2000015,8,2001,18,"48.87206827974714, 2.315964378503338"
853,2000066,20,2001,40,"48.87048858975698, 2.3802023685179554"
855,2000128,5,2002,16,"48.84092529978057, 2.338719584460179"
856,2000148,17,2002,31,"48.89277622970175, 2.3186838206063176"
857,2000152,14,2002,1,"48.83395376019527, 2.321902830309339"
858,2000165,20,2002,10,"48.87180758971142, 2.3818993780492996"
859,2000169,14,2002,20,"48.83354721969243, 2.318892759275523"
860,2000185,20,2002,8,"48.858924400214846, 2.408831132531131"
861,2000189,15,2002,46,"48.83740083004633, 2.2759111165091914"
862,2000204,11,2003,51,"48.86436229041177, 2.3800887915176427"
863,2000258,18,2003,33,"48.89388013977767, 2.330814101390561"
864,2000293,18,2003,31,"48.88547813971711, 2.361342312666529"
865,2000314,18,2004,23,"48.89380567965697, 2.3363141411351562"
866,2000331,14,2004,1,"48.83054311022568, 2.3214134773038047"
867,2000397,2,2004,5,"48.86508140043767, 2.350549403247236"
868,2000403,11,2004,29,"48.86954232974593, 2.375629943357381"
869,2000409,15,2004,5,"48.83227769026485, 2.3076673106549275"
870,2000439,20,2004,64,"48.8638621698241, 2.4031779093292984"
871,2000442,12,2004,64,"48.84517951990851, 2.3976227102678402"
872,2000444,18,2004,10,"48.890638039969744, 2.3618298966164764"
873,2000454,19,2005,10,"48.88780542986079, 2.3887459451328357"
874,2000458,12,2005,4,"48.84949213019341, 2.3810106495295202"
875,2000475,12,2005,40,"48.8421174199799, 2.4023299023655675"
876,2000536,18,2005,8,"48.88898177971304, 2.3546306964256636"
877,2000544,18,2005,27,"48.89076033018858, 2.3516246415309197"
878,2000551,18,2005,18,"48.89002845962077, 2.349819116510675"
879,2000563,10,2005,2,"48.87119300044307, 2.3743168545870286"
880,2000620,12,2006,13,"48.845739469793855, 2.403878240587275"
883,2000705,19,2006,132,"48.88969481967209, 2.3690996236227053"
884,2000718,17,2006,29,"48.88689789986868, 2.325086062066561"
886,2000760,11,2006,62,"48.86944187963088, 2.3777520041851212"
887,2000793,11,2007,8,"48.853609479702, 2.3728024493575512"
888,2000800,19,2007,46,"48.89328203984211, 2.3729549761666036"
889,2000818,18,2007,13,"48.88529588025161, 2.354537295615717"
890,2000819,14,2007,9,"48.831588020391, 2.309832011608804"
891,2000852,11,2007,17,"48.850506269737885, 2.3874191141809264"
892,2000891,17,2007,6,"48.88439299995443, 2.3251940331368837"
893,2000902,19,2007,98,"48.882716020227825, 2.3903819203532906"
894,2000913,4,2007,9,"48.85135276969367, 2.358022955564674"
895,2000958,14,2007,51,"48.82281292989935, 2.3282993660097318"
896,2000978,19,2007,8,"48.881314029599494, 2.393769654601411"
897,2001006,10,2007,11,"48.86936249033502, 2.356934546383771"
898,2001008,12,2007,7,"48.839817939954564, 2.4035551894902727"
899,2002663,15,2007,2,"48.832440930216244, 2.3020121876250386"
900,2001039,11,2008,36,"48.86460139032407, 2.3667262040424326"
901,2001114,13,2008,22,"48.83550868955115, 2.3588421436058606"
902,2001126,17,2008,6,"48.87822075999404, 2.2938809515767535"
903,2001152,11,2008,32,"48.85575294983055, 2.3788768205150914"
904,2001153,10,2008,1,"48.87814735015116, 2.3541387551999287"
905,2001172,1,2008,5,"48.86130598978361, 2.343624317600476"
906,2001195,4,2008,8,"48.858113149747986, 2.351603330343266"
907,2001233,17,2008,1,"48.886929699737124, 2.2965147725120563"
909,2001263,20,2008,20,"48.85688253981463, 2.4002316916776008"
910,2001264,18,2008,34,"48.8874014401741, 2.3522403944341232"
911,2001328,2,2009,18,"48.86887282997069, 2.347591859450117"
912,2001345,11,2009,18,"48.85274849980113, 2.3792915131386425"
913,2001359,10,2009,9,"48.873784190135915, 2.370646558063741"
915,2001415,20,2009,60,"48.86916883965341, 2.4056906713552526"
916,2001418,5,2009,25,"48.83811269028284, 2.353139674572241"
917,2001523,20,2009,14,"48.87504786025025, 2.3955674233514497"
918,2001530,13,2009,5,"48.828960170214536, 2.341649088226529"
919,2001542,10,2009,16,"48.88379348032134, 2.3682752025099303"
920,2001548,19,2009,13,"48.8981834899574, 2.385704390627026"
921,2001568,8,2010,11,"48.87786084991391, 2.320534643604122"
922,2001587,9,2010,1,"48.87497620043456, 2.3470585712779504"
924,2001648,11,2010,88,"48.856618109837044, 2.388054233554326"
925,2001698,16,2010,47,"48.84254847023537, 2.2646431379796264"
926,2001704,15,2010,4,"48.84300864973225, 2.295312444305912"
927,2001721,19,2010,93,"48.898455209556445, 2.3714593516100795"
928,2001724,19,2010,130,"48.88463339992933, 2.3970447726126416"
929,2001731,18,2010,6,"48.884188679918694, 2.336158049409421"
930,2001797,20,2010,1,"48.87143698032795, 2.380442656194523"
931,2001821,18,2010,13,"48.88679614001032, 2.351006187472281"
933,2001848,13,2011,1,"48.833874729936504, 2.3441232924762323"
934,2001896,17,2011,55,"48.88181670032128, 2.2818686153041683"
935,2001943,18,2011,12,"48.89286196977792, 2.359891350651926"
936,2001970,5,2011,6,"48.84039926010721, 2.3407586470953583"
937,2001998,17,2011,60,"48.862334440389674, 2.3400612234538247"
938,2002002,19,2011,30,"48.881470960338596, 2.372069690417004"
939,2002028,18,2011,19,"48.89379177977656, 2.3624671090441987"
940,2002030,12,2011,32,"48.8446745502085, 2.3781932894981113"
941,2002082,3,2012,9,"48.86077068034335, 2.364695319292537"
942,2002112,14,2012,2,"48.823547089779375, 2.3208585630341743"
943,2002126,15,2012,1,"48.8285925003629, 2.2989205535573363"
944,2002138,18,2012,64,"48.89615844985854, 2.3456161633990025"
945,2002146,20,2012,1,"48.87542401040605, 2.3583302154669066"
946,2002167,5,2012,12,"48.8473295097699, 2.3475660121938047"
947,2002182,16,2012,9,"48.86676438013334, 2.278163227173374"
948,2002188,13,2012,19,"48.82382059033328, 2.350023377127471"
949,2002189,15,2012,6,"48.84455717022052, 2.306101296488784"
950,2002194,11,2012,15,"48.86180573005953, 2.3876704734093703"
951,2002195,18,2012,8,"48.88568277955451, 2.332709324361514"
952,2002201,11,2012,17,"48.864889719809085, 2.3741551534322327"
953,2002203,10,2012,5,"48.86920880006278, 2.358021637160142"
954,2002222,10,2012,14,"48.87076320016573, 2.372619555603366"
955,2002229,7,2012,50,"48.84873960013201, 2.3209373511847837"
956,2002255,12,2013,1,"48.8378651798415, 2.408573500153316"
959,2002287,13,2013,85,"48.82195507990962, 2.3721204006025607"
961,2002382,13,2013,13,"48.81964506038668, 2.3451514695839215"
962,2002394,16,2013,2,"48.85664680987363, 2.2728446153900452"
963,2002396,17,2013,7,"48.892818769699765, 2.322002780108949"
964,2002493,11,2014,7,"48.857633790060206, 2.377313499361224"
966,2002516,18,2014,19,"48.895090589983994, 2.3479044865896945"
967,2002522,15,2014,12,"48.832526449558415, 2.2936810450929865"
968,2002526,13,2014,1,"48.827684980178006, 2.3691995485122272"
969,2002540,4,2014,15,"48.85225125003047, 2.363702107464795"
970,2002614,17,2014,197,"48.88583874998115, 2.2850077681998373"
971,2002680,20,2015,1,"48.87199059957192, 2.3862708765374614"
972,2002682,10,2015,1,"48.871967400071, 2.376479214516162"
973,2002685,10,2015,1,"48.87878280042422, 2.3625562402467373"
974,2002690,10,2015,1,"48.871601160431666, 2.35378396126156"
975,2002697,10,2015,1,"48.871699539800744, 2.3587628060654655"
976,2002734,16,2015,122,"48.840553010173856, 2.2678957975582623"
977,2002744,15,2015,49,"48.837744879973656, 2.297177828522869"
978,2002761,18,2015,10,"48.88431180038218, 2.3313708421847825"
979,2002762,17,2015,18,"48.88306374975312, 2.3217565472566477"
980,2002763,14,2015,35,"48.82380285035923, 2.3274945510361444"
981,2002799,19,2015,9,"48.877873340316484, 2.3966228693100864"
982,2002841,17,2015,19,"48.89343584999514, 2.3270674533908204"
983,2002845,18,2015,24,"48.88824657974736, 2.351845697474299"
984,2002854,20,2015,12,"48.8751711301914, 2.40426542549685"
985,2002884,15,2016,8,"48.82920084976167, 2.302238155546907"
986,2002933,14,2016,23,"48.83203941013533, 2.334490738377187"
987,2002942,11,2016,23,"48.86216095974068, 2.3841629563230304"
988,2002977,8,2016,3,"48.88231951982913, 2.325722518227076"
989,2002992,14,2016,11,"48.83510653990223, 2.3171167035125912"
990,2003015,11,2016,22,"48.85749331004021, 2.3846125930387077"
991,2003061,15,2017,2,"48.83873721000744, 2.289254652338674"
992,2003107,19,2017,66,"48.894673179868434, 2.3722865245185223"
993,2003077,7,2017,23,"48.850054340426055, 2.311459592549511"
994,2003138,10,2017,5,"48.87109630984163, 2.3569637786267577"
995,2003145,15,2017,22,"48.83583238957814, 2.3095312092958573"
996,2003166,18,2017,14,"48.887000900352135, 2.353016238673247"
997,2003190,19,2017,16,"48.89622456020072, 2.3715243081018307"
998,2003213,4,2017,1,"48.85580312956444, 2.355978453139559"
999,2003236,12,2017,422,"48.83749071996445, 2.4084529223605733"
1000,2003297,19,2018,36,"48.88783076990424, 2.386576749582193"
1001,2003311,10,2018,19,"48.88335720011687, 2.3638705974672205"
1002,2003320,11,2018,1,"48.87060789983877, 2.373239448564262"
1005,2003374,11,2018,6,"48.85599386984127, 2.3828277163906906"
1007,2003383,16,2018,15,"48.85562046040376, 2.2768151605121214"
1008,2003409,18,2018,40,"48.89525553970451, 2.3508927453765063"
1009,2003415,18,2018,33,"48.888307869971605, 2.3490419125609785"
1011,2003423,20,2018,1,"48.87653788959481, 2.4047749915327783"
1012,2003461,20,2018,14,"48.865102610338184, 2.3935268065755273"
1013,2003522,4,2019,13,"48.85489430982098, 2.366327497328428"
1014,2003567,15,2019,60,"48.849675669558174, 2.2880361172876085"
1015,2003583,11,2019,1,"48.865536620260826, 2.377169417335358"
1016,2003584,17,2019,1,"48.89410299980116, 2.322507441061249"
1017,2003703,10,2019,48,"48.87201996007273, 2.3656163870218245"
1018,2003704,20,2019,35,"48.85930255976442, 2.399545093392469"
1019,2003765,15,2019,2,"48.840793140420026, 2.283720451044544"
1020,2003588,10,2020,1,"48.879463899581786, 2.3633805134925754"
1022,2003677,15,2020,16,"48.846729720281374, 2.2876123572025753"
1023,2003696,16,2020,1,"48.84279569999067, 2.2560165180367435"
1024,2003697,17,2020,24,"48.88567753015651, 2.3247612824587587"
1025,2003711,17,2020,28,"48.88922371992432, 2.3240086750728595"
1026,2003729,9,2020,23,"48.875350530119455, 2.344513452392613"
1027,2003737,9,2020,8,"48.87661168034139, 2.343198262379248"
1028,2003779,2,2021,32,"48.86849754008099, 2.3521065092462674"
1030,2003804,18,2021,7,"48.89528029995873, 2.346350597655143"
1032,2003831,14,2021,17,"48.823122790173585, 2.3268957215521207"
1033,2003857,13,2021,2,"48.821265069569336, 2.355338541552494"
1034,2003951,11,2021,1,"48.86770677993383, 2.3763613085439017"
1035,2003968,4,2022,3,"48.85579063971841, 2.354895447376637"
1036,2004012,17,2022,37,"48.89705072983755, 2.3248001881683513"
1038,2004050,11,2022,1,"48.85237491044916, 2.3740395523822198"
1039,2004057,18,2022,65,"48.89525119957336, 2.362025502116791"
1040,CPE80,20,2022,20,"48.861612860419896, 2.4054317964044434"
1041,2004070,19,2023,115,"48.8909569200048, 2.368945119405129"
1042,2004183,17,2023,1,"48.88382755006515, 2.2868823543679877"
1043,2004186,18,2023,14,"48.89034828981518, 2.335340030149865"
1044,2004187,10,2023,10,"48.87114471002695, 2.3714494280614944"
1045,CPE103,20,2023,31,"48.8541455204437, 2.4025586155024214"
1046,CPE94,11,2023,81,"48.85498628014862, 2.3936444854566523"
1047,2004229,15,2024,42,"48.83480123036341, 2.295155122299543"
1048,CPE106,19,2024,45,"48.876467800391644, 2.3867320423637115"
1049,2000002,11,2001,13,"48.858033800056766, 2.3878313964794904"
1050,2000003,19,2001,224,"48.885684710123044, 2.3919161685185175"
1051,2000007,16,2001,310,"48.84698248957879, 2.25979905145772"
1052,2000017,13,2001,2,"48.824747170385486, 2.3652825355837583"
1053,2000046,12,2001,11,"48.846432680160945, 2.394202311358082"
1055,2000110,20,2002,35,"48.8567368401902, 2.4056446505735485"
1056,2000133,14,2002,45,"48.832593570155495, 2.3230514983187205"
1057,2000139,11,2002,37,"48.86528292037489, 2.3672352506344905"
1058,2000168,14,2002,4,"48.83422959974876, 2.318790094211753"
1059,2000186,18,2002,5,"48.88919407044081, 2.360572306943169"
1060,2000230,15,2003,68,"48.848253940314926, 2.289580114160072"
1061,2000243,10,2003,9,"48.8741282596961, 2.36364775768368"
1062,2000247,13,2003,25,"48.836861070287554, 2.371798230582399"
1063,2000281,20,2003,1,"48.875462980409715, 2.403506399371492"
1064,2000290,5,2003,7,"48.845587940240215, 2.3424711540732153"
1065,2000299,13,2004,48,"48.82867662006963, 2.376550238638754"
1066,2000300,19,2004,54,"48.88645247012795, 2.3932370804008087"
1067,2000321,14,2004,8,"48.83550470028517, 2.3256170693797067"
1068,2000326,10,2004,17,"48.869514349982516, 2.3545990870274416"
1069,2000339,15,2004,48,"48.840591890195284, 2.280435925470673"
1070,2000355,18,2004,13,"48.8874131999415, 2.33313138752021"
1071,2000358,19,2004,8,"48.88082127994199, 2.37573716227284"
1072,2000367,17,2004,55,"48.88539008984774, 2.3239623561592997"
1073,2000376,18,2004,10,"48.88651098007712, 2.3487120204603182"
1074,2000378,19,2004,22,"48.889934169698115, 2.3777142874520893"
1075,2000382,15,2004,55,"48.83873662979413, 2.3160467001872838"
1076,2000411,11,2004,19,"48.85270196989902, 2.3855253105009835"
1077,2000455,12,2005,12,"48.84975358031308, 2.379510810239984"
1078,2000465,18,2005,89,"48.88565153959553, 2.3499233763703486"
1079,2000471,12,2005,2,"48.84592075012946, 2.404470551323854"
1080,2000495,18,2005,2,"48.893115589867456, 2.349673258453049"
1081,2000506,11,2005,42,"48.86577056997075, 2.3836420095536743"
1082,2000607,18,2006,38,"48.88791802996082, 2.3544391271470704"
1083,2000632,6,2006,45,"48.851278609878825, 2.330647916327157"
1084,2000635,14,2006,13,"48.84143603988972, 2.3266315114874527"
1085,2000637,20,2006,48,"48.86350304010483, 2.399762539447578"
1086,2000665,12,2006,4,"48.84688895044385, 2.3691990281155526"
1087,2000670,20,2006,2,"48.873828789689796, 2.3899061352066564"
1088,2000684,11,2006,13,"48.86536974031977, 2.3836314246683314"
1089,2000685,18,2006,55,"48.89030624978123, 2.3554300543658173"
1090,2000686,18,2006,15,"48.887120230358526, 2.3542083864659618"
1091,2000714,12,2006,22,"48.835520210098295, 2.402171137259182"
1092,2000720,3,2006,18,"48.8628709003291, 2.3579410723548704"
1093,2000729,18,2006,13,"48.89314106986441, 2.349885833575006"
1095,2000755,15,2006,20,"48.83998094012259, 2.2906084793606665"
1096,2000756,19,2006,8,"48.895062880324495, 2.3744534003220674"
1097,2000783,11,2007,8,"48.86023465975691, 2.38685840836904"
1098,2000784,16,2007,20,"48.838911460231216, 2.2573693264718018"
1099,2000798,13,2007,11,"48.82625518996544, 2.3590468810575427"
1102,2000878,2,2007,38,"48.866061609891766, 2.3421930365870507"
1103,2000892,18,2007,10,"48.88838599999474, 2.361142148534456"
1104,2000896,3,2007,7,"48.86695961014883, 2.358095534182321"
1105,2000898,13,2007,65,"48.8277338998758, 2.3772131582501212"
1106,2000917,16,2007,135,"48.86784579986092, 2.270768015430309"
1107,2000922,14,2007,131,"48.822628269891844, 2.3291048866355895"
1108,2000959,9,2007,1,"48.88104493022673, 2.3364152286416573"
1109,2000960,15,2007,6,"48.83045967031789, 2.29250304225246"
1110,2000974,20,2007,8,"48.871550149975995, 2.3957510475660855"
1111,2000977,19,2007,7,"48.884906320143436, 2.381994216090067"
1112,2000979,6,2007,15,"48.8457755502417, 2.319419991424785"
1113,2002667,16,2007,5,"48.83689484972324, 2.262480269340507"
1114,2001042,20,2008,15,"48.855614710027524, 2.4002940659875995"
1115,2001044,13,2008,9,"48.87551850997166, 2.358365974157135"
1116,2001089,18,2008,12,"48.88879408977699, 2.356190697452004"
1117,2001123,20,2008,2,"48.86323450044629, 2.3892805941767077"
1118,2001138,17,2008,35,"48.89176212043689, 2.3183869784116995"
1119,2001142,18,2008,20,"48.88679251020288, 2.352608264565643"
1120,2001149,19,2008,67,"48.889142379808774, 2.385574999570153"
1121,2001155,17,2008,270,"48.886052009942304, 2.2872851844824917"
1122,2001169,1,2008,18,"48.86033344037314, 2.3489992471923578"
1123,2001192,3,2008,23,"48.86296875986305, 2.361563803576369"
1126,2001236,18,2008,4,"48.88408835004088, 2.35153228152848"
1127,2001255,12,2008,35,"48.84007251976083, 2.388209815263375"
1128,2002448,2,2008,8,"48.8684075104074, 2.34130784342586"
1129,2001291,13,2009,9,"48.82458203038758, 2.375299856588859"
1131,2001295,1,2009,7,"48.86205401958184, 2.3427240404318472"
1132,2001318,20,2009,62,"48.87374249989584, 2.387253526445106"
1133,2001334,15,2009,1,"48.84311090987458, 2.296377303518912"
1134,2001365,12,2009,21,"48.84383898019082, 2.4093116130693866"
1135,2001371,12,2009,21,"48.83997087037433, 2.4007134116192366"
1136,2001390,20,2009,2,"48.875367949909325, 2.3588946140838423"
1137,2001394,13,2009,25,"48.829134059818884, 2.3759207874692665"
1138,2001399,12,2009,210,"48.839872389680956, 2.387052468276727"
1139,2001408,15,2009,135,"48.84685407999653, 2.2901317512224773"
1140,2001420,20,2009,37,"48.865427759675704, 2.3893375164610466"
1141,2001470,17,2009,20,"48.890712699742345, 2.316802334436648"
1142,2001482,17,2009,150,"48.891251449806454, 2.3179453615608736"
1143,2001499,19,2009,2,"48.886434090265425, 2.366744068408633"
1144,2001536,18,2009,24,"48.897714280160315, 2.346559201451554"
1145,2001545,20,2009,1,"48.87194830971291, 2.385099526065188"
1146,2000900,20,2010,-8,"48.86398238985757, 2.3903089586380464"
1147,2001571,5,2010,11,"48.84109712992961, 2.350017408514437"
1148,2001577,19,2010,22,"48.88522667009755, 2.3828849176481244"
1149,2001596,15,2010,1,"48.84771299005048, 2.286577455331186"
1150,2001597,15,2010,1,"48.82802941964225, 2.2987412085076677"
1151,2001598,17,2010,1,"48.88385155963781, 2.2878882154752036"
1152,2001599,18,2010,1,"48.88904201998106, 2.3428718620943942"
1153,2001620,14,2010,5,"48.82715989012367, 2.3268216255423093"
1154,2001659,14,2010,2,"48.822998940405505, 2.3226092644541616"
1155,2001664,16,2010,3,"48.83750896984246, 2.263143422145565"
1156,2001691,11,2010,2,"48.8626201203529, 2.3754360630033866"
1157,2001693,12,2010,16,"48.835328650164314, 2.3988183520224373"
1158,2001711,11,2010,46,"48.858326010049524, 2.3767866015620416"
1159,2001720,3,2010,4,"48.86452732011836, 2.3544197590247733"
1160,2001726,20,2010,9,"48.8707187500326, 2.3894839206065503"
1161,2001770,16,2010,1,"48.839742539571155, 2.2552709176085637"
1162,2001824,13,2010,16,"48.826055610438985, 2.3592088130764304"
1163,2001843,11,2011,17,"48.854202350173196, 2.383541978494161"
1164,2001844,11,2011,20,"48.852368629993705, 2.372416362123047"
1165,2001857,15,2011,8,"48.8314683004332, 2.3068804175392947"
1166,2001898,15,2011,15,"48.84349813993816, 2.31472386130453"
1167,2001908,20,2011,18,"48.8753133203276, 2.405666780498477"
1168,2001919,15,2011,25,"48.844885889969305, 2.287111701563042"
1169,2001946,20,2011,1,"48.872658790063, 2.3857325524082245"
1170,2001953,4,2011,22,"48.85252151031205, 2.360387746597279"
1171,2001975,13,2011,56,"48.83785624987128, 2.343515627597171"
1172,2002034,18,2011,13,"48.888389539790374, 2.3504258753608944"
1173,2002049,14,2012,51,"48.83645385960149, 2.3319462813568665"
1175,2002129,17,2012,3,"48.8883393098929, 2.299419652358274"
1176,2002142,20,2012,2,"48.86942174005911, 2.4010160870396318"
1177,2002160,13,2012,20,"48.82579731955718, 2.351912411514655"
1178,2002202,11,2012,22,"48.85544522041043, 2.36972853645209"
1179,2002207,14,2012,1,"48.83496589043408, 2.3162726651059455"
1180,2002208,20,2012,1,"48.86340912962198, 2.4104782574880543"
1181,2002253,1,2013,12,"48.86575024987685, 2.3304652173750866"
1182,2002311,6,2013,1,"48.84284865018028, 2.3295532764103273"
1183,2002317,10,2013,30,"48.87983164978149, 2.3633893275773983"
1185,2002335,14,2013,48,"48.83923950035726, 2.336376418336115"
1186,2002342,15,2013,2,"48.83408335026495, 2.301610000248517"
1187,2002344,15,2013,26,"48.84312479007744, 2.2831913741692405"
1188,2002354,16,2013,2,"48.83742970039167, 2.2633456080785983"
1189,2002378,10,2013,12,"48.88235777998711, 2.358872407618976"
1190,2002427,11,2013,78,"48.84990241003236, 2.390995243961999"
1191,2002429,14,2013,27,"48.83491097995424, 2.3200720940551394"
1192,2002441,20,2013,12,"48.87023563975962, 2.404917749571973"
1193,2002472,17,2014,69,"48.89318847004666, 2.3022621783180846"
1194,2002488,8,2014,23,"48.87536456974459, 2.3046267190458156"
1196,2002519,19,2014,1,"48.88386827957147, 2.3844420913542774"
1197,2002545,9,2014,1,"48.88094098039984, 2.3370108830970344"
1198,2002565,17,2014,3,"48.888932969873466, 2.300307029372517"
1199,2002707,19,2015,6,"48.8916137097644, 2.3730452105512767"
1200,2002738,20,2015,17,"48.864223400374854, 2.3980581721704692"
1201,2002742,19,2015,6,"48.88833158015048, 2.36776280753312"
1202,2002745,17,2015,29,"48.88871445043596, 2.323181445382098"
1203,2002792,17,2015,1019,"48.88901417021864, 2.30096463518962"
1204,2002811,5,2015,24,"48.84155203015916, 2.3493474354235344"
1207,2002939,10,2016,8,"48.87132120963751, 2.354272720414427"
1208,2002963,19,2016,595,"48.880337159961506, 2.3985506704429045"
1209,2002982,10,2016,61,"48.8698505104108, 2.3659967282071133"
1210,2002993,14,2016,20,"48.839216169574996, 2.3334550273711963"
1211,2003004,8,2016,18,"48.87729730029932, 2.326826206584146"
1212,2003020,12,2016,15,"48.83904572024624, 2.3923454555633765"
1213,2003032,18,2016,1,"48.88701875000076, 2.352480672100585"
1214,2003041,4,2016,2,"48.85346268015788, 2.3581030583433686"
1215,2003087,20,2017,16,"48.854008290374345, 2.4065819929637016"
1216,2003108,12,2017,24,"48.84990683992115, 2.3756953315986866"
1217,2003152,14,2017,1,"48.82266122028781, 2.327102417574195"
1218,2003154,17,2017,13,"48.88921695014742, 2.305086034062198"
1219,2003168,19,2017,1,"48.87658084975444, 2.3726085431616726"
1220,2003197,15,2017,1,"48.840922560262925, 2.314884125616507"
1221,2003221,6,2017,1,"48.85517404036924, 2.3347285571562213"
1222,2003241,18,2017,15,"48.8904436300284, 2.3461962012362045"
1223,2003251,15,2017,760,"48.8414485304041, 2.298322195008251"
1224,2003252,15,2017,1,"48.83700191040818, 2.296813913464673"
1225,2003322,12,2018,1,"48.851273600384026, 2.3757642401416463"
1226,2003329,18,2018,1,"48.89415447966496, 2.3472933126558835"
1227,2003346,18,2018,23,"48.887281289647525, 2.360971872271859"
1230,2003416,18,2018,12,"48.89543921011686, 2.3437093735546335"
1231,2003480,12,2019,94,"48.842662509580556, 2.3971889126021364"
1234,2003515,20,2019,25,"48.87500096017362, 2.411749536278156"
1235,2003529,10,2019,11,"48.87227159013964, 2.3537257862166374"
1236,2003537,15,2019,1,"48.83747142974853, 2.3057645513970146"
1237,2003545,17,2019,40,"48.880794450078064, 2.2835448684519295"
1238,2003547,20,2019,8,"48.8702127104053, 2.404275947409371"
1239,2003550,9,2019,24,"48.87977881005244, 2.338612293017436"
1240,2003555,14,2019,17,"48.823331239863116, 2.3413994223886796"
1241,2003564,18,2019,34,"48.895540789578824, 2.3585854964491975"
1242,2003665,18,2019,9,"48.89558719003712, 2.3384625753372736"
1243,2003672,20,2019,227,"48.869436099644304, 2.396624912336124"
1244,2003702,20,2019,22,"48.851813780171, 2.408151551553863"
1245,2003757,13,2019,1,"48.837121040026524, 2.3558054482837565"
1246,2003622,17,2020,1,"48.89340071026856, 2.3183431695656207"
1247,2003625,1,2020,1,"48.86644889993401, 2.337936015033409"
1250,2003679,12,2020,17,"48.84937528015238, 2.3705867666654057"
1251,2003734,20,2020,3,"48.86563133988833, 2.3847738921952217"
1252,2003751,13,2020,5,"48.826101290218624, 2.3784973292786495"
1253,2003772,10,2021,1,"48.87108151019083, 2.370058976240058"
1254,2003778,20,2021,2,"48.85609288979125, 2.3951238736047"
1255,2003780,4,2021,1,"48.86085786961917, 2.3511822986126827"
1257,2003807,19,2021,5,"48.88637300022349, 2.391902527437809"
1258,2003954,4,2021,26,"48.855924089586296, 2.360272380537274"
1259,CPE25,20,2021,21,"48.871291900181085, 2.3956661944422506"
1260,CPE36,12,2021,38,"48.84214151004817, 2.3897147163593444"
1261,2003962,13,2022,6,"48.822507189583455, 2.366404050527007"
1262,2003987,2,2022,40,"48.86620359025353, 2.342566543253593"
1263,2003996,20,2022,9,"48.8529849597756, 2.4082202504485357"
1265,2004080,20,2023,4,"48.87526992003405, 2.4125336506744013"
1266,2004082,20,2023,3,"48.862992229592386, 2.406759666614052"
1267,2004084,17,2023,5,"48.889915440172054, 2.304459669593789"
1268,2004092,19,2023,31,"48.88141814002494, 2.370728363329131"
1269,2004132,20,2023,2,"48.86358623034884, 2.4111285691919617"
1270,2004137,15,2023,19,"48.846661889698325, 2.2956884583876955"
1271,2004169,10,2023,11,"48.87439286029325, 2.356002460005729"
1272,2004171,13,2023,2,"48.82441720014367, 2.375223074343555"
1273,2004176,11,2023,23,"48.85727089999687, 2.3848300880942848"
1274,CPE90,15,2023,29,"48.82897987022724, 2.301635594371574"
1276,2004201,15,2024,56,"48.82819092959294, 2.3015112659831636"
1277,2004250,20,2024,142,"48.86565153967877, 2.404684982453456"
1278,2004254,12,2024,19,"48.841020059664615, 2.405763249262014"
1279,2004255,12,2024,16,"48.835254030099186, 2.4052781913618664"
1280,2000009,18,2001,21,"48.89417378024506, 2.3591499353866427"
1281,2000063,15,2001,17,"48.84147289968994, 2.2786887362400323"
1282,2000118,16,2002,27,"48.854952760038316, 2.269442529234623"
1283,2000127,9,2002,12,"48.873657849941914, 2.3426028194318906"
1284,2000132,18,2002,32,"48.8910102102424, 2.3454955354838933"
